[diag] 12 FPS | 78.36 ms/frame | 98 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 3111933 FPS | 144.5 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 3 FPS | 307.8 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 5578468 FPS | 330.1 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 4 FPS | 213.2 ms/frame | 99 draws | 10 entities
[diag] 4 FPS | 211.9 ms/frame | 99 draws | 10 entities
[diag] 4 FPS | 218.0 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 211.8 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 226.7 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 4 FPS | 228.5 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 4 FPS | 224.6 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 4721617 FPS | 213.1 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 515 FPS | 15.77 ms/frame | 99 draws | 10 entities
[diag] 62 FPS | 22.13 ms/frame | 99 draws | 10 entities
[diag] 63 FPS | 16.90 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 557 FPS | 17.89 ms/frame | 99 draws | 10 entities
[diag] 63 FPS | 14.28 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 390 FPS | 16.92 ms/frame | 99 draws | 10 entities
[diag] 64 FPS | 17.53 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 599 FPS | 16.29 ms/frame | 99 draws | 10 entities
[diag] 64 FPS | 16.73 ms/frame | 99 draws | 10 entities
